Symbol,Name,Last,MarketCap,Sector,Industry
CTHR,Charles & Colvard Ltd.,1.448,4.197E7,Consumer Durables,Consumer Specialties
CTIB,CTI Industries Corporation,0.8574,3290000.0,Basic Industries,Specialty Chemicals
CTIC,CTI BioPharma Corp.,1.54,8.929E7,Health Care,Major Pharmaceuticals
CTMX,"CytomX Therapeutics, Inc.",8.595,3.9051E8,Health Care,Major Pharmaceuticals
CTRC,Centric Brands Inc.,2.25,1.3288E8,Consumer Non-Durables,Apparel
CTRE,"CareTrust REIT, Inc.",20.19,1.93E9,Consumer Services,Real Estate Investment Trusts
CTRM,Castor Maritime Inc.,1.9037,6320000.0,Transportation,Marine Transportation
CTRN,"Citi Trends, Inc.",22.65,2.6388E8,Consumer Services,Clothing/Shoe/Accessory Stores
CTSH,Cognizant Technology Solutions Corporation,61.92,3.3909999999999996E10,Technology,EDP Services
CTSO,Cytosorbents Corporation,4.0,1.2969999999999999E8,Health Care,Medical/Dental Instruments
CTXR,"Citius Pharmaceuticals, Inc.",0.991,2.867E7,Health Care,Major Pharmaceuticals
CTXS,"Citrix Systems, Inc.",111.67,1.454E10,Technology,Computer Software: Prepackaged Software
CUE,"Cue Biopharma, Inc.",16.31,3.7503E8,Health Care,Major Pharmaceuticals
CUI,"CUI Global, Inc.",1.17,3.362E7,Technology,Electronic Components
CUTR,"Cutera, Inc.",36.47,5.191E8,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CVBF,CVB Financial Corporation,21.52,3.02E9,Finance,Major Banks
CVCO,"Cavco Industries, Inc.",196.6,1.8E9,Basic Industries,Homebuilding
CVCY,Central Valley Community Bancorp,21.52,2.8403E8,Finance,Major Banks
CVET,"Covetrus, Inc.",13.28,1.49E9,Health Care,Medical/Nursing Services
CVGI,"Commercial Vehicle Group, Inc.",6.39,2.0026E8,Capital Goods,Auto Parts:O.E.M.
CVGW,"Calavo Growers, Inc.",87.21,1.53E9,Consumer Non-Durables,Farming/Seeds/Milling
CVLT,"Commvault Systems, Inc.",45.2,2.0699999999999998E9,Technology,Computer Software: Prepackaged Software
CVLY,"Codorus Valley Bancorp, Inc",23.0,2.2369E8,Finance,Savings Institutions
CVTI,"Covenant Transportation Group, Inc.",13.21,2.4388E8,Transportation,Trucking Freight/Courier Services
CVV,CVD Equipment Corporation,3.2223,2.115E7,Technology,Industrial Machinery/Components
CWBC,Community West Bancshares,11.42,9.669E7,Finance,Major Banks
CWBR,"CohBar, Inc.",1.56,6.233E7,Health Care,Major Pharmaceuticals
CWCO,Consolidated Water Co. Ltd.,16.07,2.4149E8,Public Utilities,Water Supply
CWST,"Casella Waste Systems, Inc.",45.96,2.2E9,Public Utilities,Environmental Services
CXDC,China XD Plastics Company Limited,1.82,1.2185E8,Capital Goods,Containers/Packaging
CY,Cypress Semiconductor Corporation,23.49,8.71E9,Technology,Semiconductors
CYAD,Celyad SA,11.25,1.5685E8,Health Care,Major Pharmaceuticals
CYAN,Cyanotech Corporation,2.29,1.355E7,Consumer Durables,Specialty Chemicals
CYBE,CyberOptics Corporation,19.35,1.3793E8,Capital Goods,Electronic Components
CYBR,CyberArk Software Ltd.,118.76,4.5E9,Technology,Computer Software: Prepackaged Software
CYCC,"Cyclacel Pharmaceuticals, Inc.",0.6691,1.151E7,Health Care,Major Pharmaceuticals
CYCCP,"Cyclacel Pharmaceuticals, Inc.",5.0,1680000.0,Health Care,Major Pharmaceuticals
CYCN,"Cyclerion Therapeutics, Inc.",2.57,7.06E7,Health Care,Major Pharmaceuticals
CYOU,Changyou.com Limited,9.95,5.2984000000000006E8,Technology,Computer Software: Prepackaged Software
CYRN,CYREN Ltd.,1.28,7.593E7,Technology,Computer Software: Prepackaged Software
CYRX,"CryoPort, Inc.",16.53,5.9249E8,Health Care,Major Pharmaceuticals
CYTK,"Cytokinetics, Incorporated",10.55,6.2415E8,Health Care,Major Pharmaceuticals
CZNC,Citizens & Northern Corp,28.2,3.8643E8,Finance,Major Banks
CZR,Caesars Entertainment Corporation,13.6,9.26E9,Consumer Services,Hotels/Resorts
CZWI,"Citizens Community Bancorp, Inc.",12.22,1.3772E8,Finance,Savings Institutions
DAIO,Data I/O Corporation,4.4299,3.637E7,Capital Goods,Electrical Products
DAKT,"Daktronics, Inc.",6.07,2.7405E8,Consumer Durables,Miscellaneous manufacturing industries
DARE,"Dare Bioscience, Inc.",0.82,1.614E7,Health Care,Major Pharmaceuticals
DBVT,DBV Technologies S.A.,11.02,1.04E9,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DBX,"Dropbox, Inc.",18.09,7.51E9,Technology,Computer Software: Prepackaged Software
DCAR,"DropCar, Inc.",0.9356,3800000.0,Consumer Services,Telecommunications Equipment
DCIX,Performance Shipping Inc.,0.82,4.02E7,Transportation,Marine Transportation
DCOM,"Dime Community Bancshares, Inc.",20.67,7.4116E8,Finance,Savings Institutions
DCPH,"Deciphera Pharmaceuticals, Inc.",57.85,2.95E9,Health Care,Major Pharmaceuticals
DDMX,DD3 Acquisition Corp.,10.22,7.382E7,Finance,Business Services
DDMXU,DD3 Acquisition Corp.,10.8,7.801E7,Finance,Business Services
DDOG,"Datadog, Inc.",36.7,1.086E10,Technology,Computer Software: Prepackaged Software
DEAC,Diamond Eagle Acquisition Corp.,10.68,5.34E8,Finance,Business Services
DEACU,Diamond Eagle Acquisition Corp.,11.65,4.0775E8,Finance,Business Services
DENN,Denny&#39;s Corporation,19.99,1.18E9,Consumer Services,Restaurants
DERM,"Dermira, Inc.",14.79,8.0637E8,Health Care,Major Pharmaceuticals
DFFN,Diffusion Pharmaceuticals Inc.,0.4613,1.116E7,Health Care,Major Pharmaceuticals
DGICA,"Donegal Group, Inc.",14.85,4.2595E8,Finance,Property-Casualty Insurers
DGICB,"Donegal Group, Inc.",12.07,3.4621E8,Finance,Property-Casualty Insurers
DGII,Digi International Inc.,17.63,4.9918E8,Technology,Computer Communications Equipment
DGLD,Credit Suisse AG,27.93,1.757E7,Finance,Investment Bankers/Brokers/Service
DGLY,"Digital Ally, Inc.",1.03,1.244E7,Technology,Radio And Television Broadcasting And Communications Equipment
DHIL,"Diamond Hill Investment Group, Inc.",143.82,4.8671E8,Finance,Investment Managers
DIOD,Diodes Incorporated,57.3,2.92E9,Technology,Semiconductors
DISCA,"Discovery, Inc.",32.22,1.693E10,Consumer Services,Television Services
DISCB,"Discovery, Inc.",36.26,1.905E10,Consumer Services,Television Services
DISCK,"Discovery, Inc.",30.185,1.586E10,Consumer Services,Television Services
DISH,DISH Network Corporation,35.735,1.87E10,Consumer Services,Television Services
DJCO,Daily Journal Corp. (S.C.),292.0,4.0318E8,Consumer Services,Newspapers/Magazines
DLHC,DLH Holdings Corp.,4.5,5.447E7,Technology,Professional Services
DLPN,"Dolphin Entertainment, Inc.",0.682,1.183E7,Consumer Services,Other Consumer Services
DLTH,Duluth Holdings Inc.,9.74,3.1679E8,Consumer Services,Clothing/Shoe/Accessory Stores
DLTR,"Dollar Tree, Inc.",93.78,2.219E10,Consumer Services,Department/Specialty Retail Stores
DMAC,DiaMedica Therapeutics Inc.,4.86,5.811E7,Health Care,Major Pharmaceuticals
DMLP,"Dorchester Minerals, L.P.",19.65,6.8146E8,Energy,Oil & Gas Production
DMPI,"DelMar Pharmaceuticals, Inc.",0.71,8090000.0,Health Care,Major Pharmaceuticals
DMRC,Digimarc Corporation,33.63,4.1795E8,Technology,EDP Services
DMTK,"DermTech, Inc.",12.82,1.5338E8,Health Care,Medical Specialities
DNJR,GOLDEN BULL LIMITED,0.3996,6150000.0,Finance,Finance: Consumer Services
DNKN,"Dunkin&#39; Brands Group, Inc.",76.46,6.33E9,Consumer Services,Restaurants
DNLI,Denali Therapeutics Inc.,16.39,1.57E9,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DOCU,"DocuSign, Inc.",75.9,1.362E10,Technology,Computer Software: Prepackaged Software
DOGZ,Dogness (International) Corporation,1.3343,3.458E7,Consumer Durables,Miscellaneous manufacturing industries
DOMO,"Domo, Inc.",21.04,5.863E8,Technology,Computer Software: Prepackaged Software
DOOO,BRP Inc.,45.98,1.74E9,Capital Goods,Industrial Specialties
DORM,"Dorman Products, Inc.",75.66,2.48E9,Capital Goods,Auto Parts:O.E.M.
DOX,Amdocs Limited,72.45,9.76E9,Technology,EDP Services
DOYU,DouYu International Holdings Limited,8.85,2.87E9,Technology,"Computer Software: Programming, Data Processing"
DPHC,DiamondPeak Holdings Corp.,9.97,3.4895E8,Finance,Business Services
DRAD,Digirad Corporation,2.63,5390000.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
DRIO,DarioHealth Corp.,6.48,1.416E7,Health Care,Medical/Dental Instruments
DRNA,"Dicerna Pharmaceuticals, Inc.",22.06,1.51E9,Health Care,Major Pharmaceuticals
DRRX,DURECT Corporation,2.615,5.0303E8,Health Care,Major Pharmaceuticals
DRTT,DIRTT Environmental Solutions Ltd.,3.35,2.8368E8,Technology,Computer Software: Prepackaged Software
DSGX,The Descartes Systems Group Inc.,43.85,3.69E9,Technology,Computer Software: Prepackaged Software
DSKE,"Daseke, Inc.",3.17,2.0475E8,Consumer Services,Transportation Services
DSLV,Credit Suisse AG,15.6844,2.135E7,Finance,Investment Bankers/Brokers/Service
DSPG,"DSP Group, Inc.",15.9,3.6577E8,Technology,Semiconductors
DSWL,"Deswell Industries, Inc.",2.71,4.313E7,Consumer Non-Durables,Plastic Products
DTEA,DAVIDsTEA Inc.,1.44,3.753E7,Consumer Non-Durables,Food Chains
DTIL,"Precision BioSciences, Inc.",13.14,6.6735E8,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DTSS,Datasea Inc.,2.75,5.76E7,Technology,Computer Software: Prepackaged Software
DUO,Fangdd Network Group Ltd.,16.4,1.19E9,Finance,Real Estate
DVAX,Dynavax Technologies Corporation,5.47,4.5874E8,Health Care,Major Pharmaceuticals
DWSN,Dawson Geophysical Company,2.4,5.582E7,Energy,Oil & Gas Production
DXCM,"DexCom, Inc.",219.38,2.008E10,Health Care,Medical/Dental Instruments
DXLG,"Destination XL Group, Inc.",1.29,6.495E7,Consumer Services,Clothing/Shoe/Accessory Stores
DXPE,"DXP Enterprises, Inc.",39.81,7.0079E8,Capital Goods,Industrial Machinery/Components
DXYN,"The Dixie Group, Inc.",1.31,2.143E7,Consumer Durables,Home Furnishings
DYAI,"Dyadic International, Inc.",5.27,1.4341E8,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DYNT,Dynatronics Corporation,0.8841,7820000.0,Health Care,Medical/Dental Instruments
DZSI,"DASAN Zhone Solutions, Inc.",9.05,1.9357E8,Public Utilities,Telecommunications Equipment
EA,Electronic Arts Inc.,107.34,3.134E10,Technology,Computer Software: Prepackaged Software
EARS,Auris Medical Holding Ltd.,1.6,5280000.0,Health Care,Major Pharmaceuticals
EAST,"Eastside Distilling, Inc.",3.1,2.999E7,Consumer Non-Durables,Beverages (Production/Distribution)
EBAY,eBay Inc.,36.3,2.953E10,Miscellaneous,Business Services
EBIX,"Ebix, Inc.",33.44,1.02E9,Technology,EDP Services
EBMT,"Eagle Bancorp Montana, Inc.",21.7,1.3938E8,Finance,Major Banks
EBSB,"Meridian Bancorp, Inc.",19.91,1.06E9,Finance,Major Banks
EBTC,Enterprise Bancorp Inc,33.36,3.942E8,Finance,Major Banks
ECHO,"Echo Global Logistics, Inc.",20.49,5.5927E8,Transportation,Oil Refining/Marketing
ECOL,"US Ecology, Inc.",57.04,1.26E9,Public Utilities,Environmental Services
ECOR,"electroCore, Inc.",1.53,4.516E7,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
ECPG,Encore Capital Group Inc,35.94,1.12E9,Finance,Finance Companies
EDAP,EDAP TMS S.A.,4.44,1.2875E8,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EDIT,"Editas Medicine, Inc.",29.44,1.51E9,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EDNT,"Edison Nation, Inc.",2.05,1.24E7,Consumer Non-Durables,Recreational Products/Toys
EDRY,EuroDry Ltd.,7.63,1.74E7,Consumer Services,Marine Transportation
EDSA,"Edesa Biotech, Inc.",4.09,3.069E7,Health Care,Major Pharmaceuticals
EDTX,EdtechX Holdings Acquisition Corp.,10.27,8.12E7,Finance,Business Services
EDTXU,EdtechX Holdings Acquisition Corp.,10.73,8.483E7,Finance,Business Services
EDUC,Educational Development Corporation,6.13,5.191E7,Consumer Durables,Consumer Specialties
EEFT,"Euronet Worldwide, Inc.",158.65,8.57E9,Finance,Investment Bankers/Brokers/Service
EFOI,"Energy Focus, Inc.",0.5152,6370000.0,Consumer Durables,Building Products
EFSC,Enterprise Financial Services Corporation,48.11,1.28E9,Finance,Major Banks
EGAN,eGain Corporation,8.08,2.4675E8,Technology,Computer Software: Prepackaged Software
EGBN,"Eagle Bancorp, Inc.",48.58,1.63E9,Finance,Major Banks
EGHT,8x8 Inc,18.63,1.87E9,Technology,EDP Services
EGLE,Eagle Bulk Shipping Inc.,4.51,3.4558E8,Transportation,Marine Transportation
EGOV,NIC Inc.,22.59,1.51E9,Miscellaneous,Business Services
EGRX,"Eagle Pharmaceuticals, Inc.",60.03,8.2068E8,Health Care,Major Pharmaceuticals
EH,EHang Holdings Limited,12.7,6.7359E8,Transportation,Air Freight/Delivery Services
EHTH,"eHealth, Inc.",97.91,2.26E9,Finance,Specialty Insurers
EIDX,"Eidos Therapeutics, Inc.",57.62,2.16E9,Health Care,Major Pharmaceuticals
EIGI,"Endurance International Group Holdings, Inc.",4.62,6.7639E8,Technology,Computer Software: Prepackaged Software
EIGR,"Eiger BioPharmaceuticals, Inc.",14.55,3.564E8,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EKSO,"Ekso Bionics Holdings, Inc.",0.4,3.443E7,Capital Goods,Industrial Machinery/Components
ELGX,"Endologix, Inc.",1.9,3.409E7,Health Care,Medical/Dental Instruments
ELOX,"Eloxx Pharmaceuticals, Inc.",7.15,2.8602E8,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ELSE,"Electro-Sensors, Inc.",3.7,1.256E7,Capital Goods,Industrial Machinery/Components
ELTK,Eltek Ltd.,3.6501,1.599E7,Technology,Electrical Products
EMCF,Emclaire Financial Corp,33.5,9.041E7,Finance,Major Banks
EMKR,EMCORE Corporation,3.11,8.989E7,Technology,Semiconductors
EML,Eastern Company (The),29.89,1.8646E8,Capital Goods,Industrial Machinery/Components
EMMS,Emmis Communications Corporation,4.01,5.282E7,Consumer Services,Broadcasting
ENDP,Endo International plc,4.5,1.0E9,Health Care,Major Pharmaceuticals
ENG,ENGlobal Corporation,0.987,2.706E7,Consumer Services,Military/Government/Technical
ENLV,Enlivex Therapeutics Ltd.,8.67,8.96E7,Health Care,Major Pharmaceuticals
ENOB,"Enochian Biosciences, Inc.",5.21,2.4109E8,Health Care,Major Pharmaceuticals
ENPH,"Enphase Energy, Inc.",29.34,3.59E9,Technology,Semiconductors
ENSG,"The Ensign Group, Inc.",45.01,2.4E9,Health Care,Hospital/Nursing Management
ENT,Global Eagle Entertainment Inc.,0.4971,4.616E7,Consumer Services,Telecommunications Equipment
ENTA,"Enanta Pharmaceuticals, Inc.",62.0,1.22E9,Health Care,Major Pharmaceuticals
ENTG,"Entegris, Inc.",50.97,6.87E9,Consumer Non-Durables,Plastic Products
ENTX,Entera Bio Ltd.,2.1575,2.622E7,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EOLS,"Evolus, Inc.",12.04,4.0243E8,Health Care,Major Pharmaceuticals
EPAY,"Bottomline Technologies, Inc.",54.0,2.37E9,Technology,Computer Software: Prepackaged Software
EPIX,ESSA Pharma Inc.,5.52,1.1461E8,Health Care,Major Pharmaceuticals
EPSN,Epsilon Energy Ltd.,3.3,9.037E7,Energy,Oil & Gas Production
EPZM,"Epizyme, Inc.",24.9,2.27E9,Health Care,Major Pharmaceuticals
EQ,"Equillium, Inc.",4.09,7.107E7,Health Care,Major Pharmaceuticals
EQBK,"Equity Bancshares, Inc.",30.13,4.6529E8,Finance,Major Banks
EQIX,"Equinix, Inc.",579.35,4.941E10,Consumer Services,Real Estate Investment Trusts
ERI,"Eldorado Resorts, Inc.",59.51,4.63E9,Consumer Services,Hotels/Resorts
ERIC,Ericsson,9.01,2.981E10,Technology,Radio And Television Broadcasting And Communications Equipment
ERIE,Erie Indemnity Company,165.14,8.64E9,Finance,Specialty Insurers
ERII,"Energy Recovery, Inc.",9.74,5.3683000000000006E8,Technology,Industrial Machinery/Components
ERYP,Erytech Pharma S.A.,7.2004,1.2916E8,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ESBK,Elmira Savings Bank NY (The),15.8,5.502E7,Finance,Major Banks
ESCA,"Escalade, Incorporated",9.53,1.3595E8,Consumer Non-Durables,Recreational Products/Toys
ESEA,Euroseas Ltd.,4.29,2.401E7,Transportation,Marine Transportation
ESGR,Enstar Group Limited,208.71,4.49E9,Finance,Property-Casualty Insurers
ESGRO,Enstar Group Limited,27.53,121132.0,Finance,Property-Casualty Insurers
ESGRP,Enstar Group Limited,28.22,451520.0,Finance,Property-Casualty Insurers
ESLT,Elbit Systems Ltd.,158.18,6.99E9,Capital Goods,Military/Government/Technical
ESPR,"Esperion Therapeutics, Inc.",61.34,1.68E9,Health Care,Major Pharmaceuticals
ESQ,"Esquire Financial Holdings, Inc.",25.96,1.9578E8,Finance,Commercial Banks
ESSA,"ESSA Bancorp, Inc.",17.1,1.9307E8,Finance,Banks
ESTA,Establishment Labs Holdings Inc.,27.74,5.7146E8,Health Care,Industrial Specialties
ESTR,"Estre Ambiental, Inc.",0.423,2.165E7,Public Utilities,Environmental Services
ESXB,Community Bankers Trust Corporation.,8.9,1.9879E8,Finance,Major Banks
ETFC,E*TRADE Financial Corporation,46.09,1.041E10,Finance,Savings Institutions
ETNB,"89bio, Inc.",25.1,3.2613E8,Health Care,Major Pharmaceuticals
ETON,"Eton Pharmaceuticals, Inc.",7.47,1.3302000000000001E8,Health Care,Major Pharmaceuticals
ETSY,"Etsy, Inc.",45.19,5.35E9,Miscellaneous,Business Services
ETTX,Entasis Therapeutics Holdings Inc.,4.96,6.593000000000001E7,Health Care,Major Pharmaceuticals
EVBG,"Everbridge, Inc.",79.99,2.7E9,Technology,Computer Software: Prepackaged Software
EVER,"EverQuote, Inc.",33.79,8.832E8,Technology,"Computer Software: Programming, Data Processing"
EVFM,"Evofem Biosciences, Inc.",5.88,2.7525E8,Health Care,Major Pharmaceuticals
EVGN,Evogene Ltd.,1.67,4.301E7,Basic Industries,Agricultural Chemicals
EVK,"Ever-Glory International Group, Inc.",1.668,2.469E7,Consumer Non-Durables,Apparel
EVLO,"Evelo Biosciences, Inc.",3.72,1.1936E8,Health Care,Major Pharmaceuticals
EVOK,"Evoke Pharma, Inc.",1.6,3.877E7,Health Care,Major Pharmaceuticals
EVOL,"Evolving Systems, Inc.",0.89,1.083E7,Technology,EDP Services
EVOP,"EVO Payments, Inc.",26.65,2.19E9,Miscellaneous,Business Services
EVSI,"Envision Solar International, Inc.",4.57,2.349E7,Technology,Semiconductors
EWBC,"East West Bancorp, Inc.",49.56,7.22E9,Finance,Major Banks
EXAS,Exact Sciences Corporation,95.58,1.407E10,Health Care,Biotechnology: Commercial Physical & Biological Resarch
EXC,Exelon Corporation,45.43,4.416E10,Public Utilities,Power Generation
EXEL,"Exelixis, Inc.",17.66,5.37E9,Health Care,Biotechnology: Commercial Physical & Biological Resarch
EXFO,EXFO Inc,4.88,1.1666E8,Capital Goods,Electrical Products
EXLS,"ExlService Holdings, Inc.",69.995,2.39E9,Miscellaneous,Business Services
EXPC,Experience Investment Corp.,9.83,3.3791E8,Finance,Business Services
EXPD,"Expeditors International of Washington, Inc.",78.35,1.334E10,Transportation,Oil Refining/Marketing
EXPE,"Expedia Group, Inc.",110.98,1.6079999999999998E10,Consumer Services,Transportation Services
EXPI,"eXp World Holdings, Inc.",11.1,7.1475E8,Finance,Real Estate
EXPO,"Exponent, Inc.",69.9,3.62E9,Consumer Services,Professional Services
EXTR,"Extreme Networks, Inc.",7.34,8.923E8,Technology,Computer Communications Equipment
EYE,"National Vision Holdings, Inc.",32.43,2.57E9,Health Care,Ophthalmic Goods
EYEG,"Eyegate Pharmaceuticals, Inc.",9.72,3.535E7,Health Care,Major Pharmaceuticals
EYEN,"Eyenovia, Inc.",4.32,7.388E7,Health Care,Major Pharmaceuticals
EYES,"Second Sight Medical Products, Inc.",0.7366,9.178E7,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EYPT,"EyePoint Pharmaceuticals, Inc.",1.53,1.6542E8,Capital Goods,Biotechnology: Laboratory Analytical Instruments
EZPW,"EZCORP, Inc.",6.59,3.6598E8,Consumer Services,Other Specialty Stores
FAMI,"FARMMI, INC.",0.8042,1.034E7,Consumer Non-Durables,Packaged Foods
FANG,"Diamondback Energy, Inc.",92.65,1.487E10,Energy,Oil & Gas Production
FANH,Fanhua Inc.,26.08,1.66E9,Finance,Specialty Insurers
FARM,Farmer Brothers Company,14.62,2.5076E8,Consumer Non-Durables,Packaged Foods
FARO,"FARO Technologies, Inc.",51.87,9.0275E8,Capital Goods,Industrial Machinery/Components
FAST,Fastenal Company,37.23,2.135E10,Consumer Services,RETAIL: Building Materials
FAT,FAT Brands Inc.,4.5039,5.334E7,Consumer Services,Restaurants
FATE,"Fate Therapeutics, Inc.",19.47,1.47E9,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FB,"Facebook, Inc.",209.78,5.9824E11,Technology,"Computer Software: Programming, Data Processing"
FBIO,"Fortress Biotech, Inc.",2.71,1.9181E8,Health Care,Major Pharmaceuticals
FBIOP,"Fortress Biotech, Inc.",20.5998,2.06E7,Health Care,Major Pharmaceuticals
FBIZ,"First Business Financial Services, Inc.",26.41,2.2685E8,Finance,Major Banks
FBMS,"The First Bancshares, Inc.",35.14,6.604E8,Finance,Major Banks
FBNC,First Bancorp,39.86,1.18E9,Finance,Major Banks
FBSS,"Fauquier Bankshares, Inc.",22.0,8.327E7,Finance,Major Banks
FCAP,"First Capital, Inc.",69.7,2.3445E8,Finance,Savings Institutions
FCBC,"First Community Bankshares, Inc.",30.95,4.8223E8,Finance,Major Banks
FCBP,First Choice Bancorp,27.2,3.1704E8,Finance,Major Banks
FCCO,First Community Corporation,21.585,1.6021E8,Finance,Major Banks
FCCY,1st Constitution Bancorp (NJ),22.46,2.2891E8,Finance,Savings Institutions
FCEL,"FuelCell Energy, Inc.",2.01,3.8915E8,Miscellaneous,Industrial Machinery/Components
FCFS,"FirstCash, Inc.",81.77,3.49E9,Consumer Services,Other Specialty Stores
FCNCA,"First Citizens BancShares, Inc.",537.48,5.77E9,Finance,Major Banks
FDBC,"Fidelity D & D Bancorp, Inc.",63.02,2.3831E8,Finance,Major Banks
FDEF,First Defiance Financial Corp.,31.72,6.2581E8,Finance,Savings Institutions
FEIM,"Frequency Electronics, Inc.",10.25,9.327E7,Capital Goods,Electrical Products
FELE,"Franklin Electric Co., Inc.",58.41,2.71E9,Consumer Durables,Metal Fabrications
FENC,Fennec Pharmaceuticals Inc.,6.48,1.2891999999999999E8,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FEYE,"FireEye, Inc.",16.78,3.64E9,Technology,Computer peripheral equipment
FFBC,First Financial Bancorp.,25.52,2.54E9,Finance,Major Banks
FFBW,"FFBW, Inc.",11.5482,7.583E7,Finance,Savings Institutions
FFHL,"Fuwei Films (Holdings) Co., Ltd.",2.8028,9150000.0,Capital Goods,Specialty Chemicals
FFIC,Flushing Financial Corporation,21.47,6.0454E8,Finance,Major Banks
FFIN,"First Financial Bankshares, Inc.",35.1,4.77E9,Finance,Major Banks
FFIV,"F5 Networks, Inc.",140.76,8.560000000000001E9,Technology,Computer Communications Equipment
FFNW,"First Financial Northwest, Inc.",14.94,1.5372E8,Finance,Major Banks
FFWM,First Foundation Inc.,17.24,7.6983E8,Finance,Major Banks
FGBI,"First Guaranty Bancshares, Inc.",22.17,2.1598E8,Finance,Savings Institutions
FGEN,"FibroGen, Inc",43.86,3.83E9,Health Care,Major Pharmaceuticals
FHB,"First Hawaiian, Inc.",28.73,3.76E9,Finance,Major Banks
FIBK,"First Interstate BancSystem, Inc.",41.73,2.72E9,Finance,Major Banks
FISI,"Financial Institutions, Inc.",32.29,5.1659000000000006E8,Finance,Major Banks
FISV,"Fiserv, Inc.",115.52,7.854E10,Technology,EDP Services
FITB,Fifth Third Bancorp,31.02,2.201E10,Finance,Major Banks
FITBI,Fifth Third Bancorp,29.05,5.229E8,Finance,Major Banks
FIVE,"Five Below, Inc.",127.65,7.11E9,Consumer Services,Department/Specialty Retail Stores
FIVN,"Five9, Inc.",66.76,4.08E9,Technology,EDP Services
FIXX,"Homology Medicines, Inc.",20.53,9.0403E8,Health Care,Major Pharmaceuticals
FIZZ,National Beverage Corp.,48.6,2.26E9,Consumer Non-Durables,Beverages (Production/Distribution)
FLDM,Fluidigm Corporation,3.49,2.4278E8,Capital Goods,Biotechnology: Laboratory Analytical Instruments
FLEX,Flex Ltd.,12.78,6.5E9,Technology,Electrical Products
FLGT,"Fulgent Genetics, Inc.",12.5,2.3388E8,Health Care,Medical Specialities
FLIC,The First of Long Island Corporation,24.81,6.0025E8,Finance,Major Banks
FLIR,"FLIR Systems, Inc.",52.75,7.08E9,Capital Goods,Industrial Machinery/Components
FLL,"Full House Resorts, Inc.",3.27,8.829E7,Consumer Services,Hotels/Resorts
FLLC,Fellazo Inc.,9.9,7.4E7,Finance,Business Services
FLLCU,Fellazo Inc.,10.1,6.039E7,Finance,Business Services
FLLCW,Fellazo Inc.,0.05,298975.0,Finance,Business Services
FLMN,Falcon Minerals Corporation,6.95,5.9736E8,Energy,Oil & Gas Production
FLNT,"Fluent, Inc.",2.48,1.9049E8,Consumer Services,Advertising
FLWS,"1-800-FLOWERS.COM, Inc.",14.16,9.146E8,Consumer Services,Other Specialty Stores
FLXN,"Flexion Therapeutics, Inc.",20.53,7.8373E8,Health Care,Major Pharmaceuticals
FLXS,"Flexsteel Industries, Inc.",19.67,1.5621E8,Consumer Durables,Home Furnishings
FMAO,"Farmers & Merchants Bancorp, Inc.",30.32,3.3767E8,Finance,Savings Institutions
FMBH,"First Mid Bancshares, Inc.",34.97,5.8278E8,Finance,Major Banks
FMBI,"First Midwest Bancorp, Inc.",22.96,2.52E9,Finance,Major Banks
FMCI,Forum Merger II Corporation,10.21,2.6194E8,Finance,Business Services
FMNB,Farmers National Banc Corp.,16.26,4.4989E8,Finance,Major Banks
FNCB,FNCB Bancorp Inc.,8.46,1.7064E8,Finance,Major Banks
FNHC,FedNat Holding Company,16.46,2.4102E8,Finance,Property-Casualty Insurers
FNJN,"Finjan Holdings, Inc.",1.9999,5.528E7,Miscellaneous,Multi-Sector Companies
FNKO,"Funko, Inc.",17.57,8.6826E8,Consumer Non-Durables,Recreational Products/Toys
FNLC,"First Bancorp, Inc (ME)",30.34,3.307E8,Finance,Major Banks
FNWB,First Northwest Bancorp,17.68,1.8978E8,Finance,Banks
FOCS,Focus Financial Partners Inc.,29.62,2.06E9,Finance,Investment Managers
FOLD,"Amicus Therapeutics, Inc.",9.55,2.43E9,Health Care,Major Pharmaceuticals
FOMX,Foamix Pharmaceuticals Ltd.,3.29,2.0152E8,Consumer Durables,Specialty Chemicals
FONR,Fonar Corporation,20.19,1.3275E8,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
FORD,"Forward Industries, Inc.",1.01,9630000.0,Consumer Non-Durables,Plastic Products
FORK,Fuling Global Inc.,2.3,3.633E7,Consumer Non-Durables,Plastic Products
FORM,"FormFactor, Inc.",26.52,2.0099999999999998E9,Technology,Semiconductors
